date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum
2012,26,N00007231,0.0,5.0,CA,36.37,3.1060000000000003,0.0,0.0,0.32
2006,16,N00002012,0.0,2.0,MD,3.5,309.139,0.0,0.0,10.725999999999999
2006,18,N00003660,0.0,6.0,OH,176.252,159.371,2.0,0.0,306.325
2006,14,N00009154,0.0,5.0,VA,294.6740000000001,219.375,0.0,0.0,413.379
2008,16,N00009154,0.0,3.0,VA,219.375,227.50400000000002,1.0,0.0,432.205
2010,18,N00009154,0.0,2.0,VA,227.50400000000002,388.283,4.0,0.0,365.70099999999996
2012,20,N00009154,0.0,2.0,VA,388.283,674.316,6.0,0.0,682.8939999999999
2014,22,N00009154,0.0,2.0,VA,674.316,0.0,0.0,1.0,698.409
2006,22,N00003126,0.0,3.0,TN,248.725,630.943,8.0,0.0,458.225
2008,24,N00003126,0.0,3.0,TN,630.943,462.29900000000004,4.0,2.0,614.174
2010,26,N00003126,0.0,6.0,TN,462.29900000000004,0.0,0.0,3.0,21.0
2008,14,N00009975,0.0,4.0,SC,797.4019999999997,40.2,0.0,0.0,678.837
2014,20,N00009975,0.0,3.0,SC,1027.778,0.0,0.0,1.0,1440.4029999999998
2010,36,N00001758,0.0,12.0,IA,1440.757,41.0,0.0,1.0,1718.043
2006,14,N00005870,0.0,2.0,TX,252.263,372.851,6.0,0.0,323.97
2008,16,N00005870,0.0,4.0,TX,372.851,374.647,5.0,0.0,480.006
2010,18,N00005870,0.0,8.0,TX,374.647,352.7,1.0,0.0,459.779
2012,20,N00005870,0.0,13.0,TX,352.7,372.61400000000003,1.0,0.0,480.3
2014,22,N00005870,0.0,1.0,TX,372.61400000000003,0.0,0.0,0.0,464.83099999999996
2006,14,N00004874,0.0,2.0,IL,22.0,38.28,5.0,0.0,95.87799999999999
2008,16,N00004874,0.0,7.0,IL,38.28,163.86900000000003,0.0,0.0,80.628
2010,18,N00004874,0.0,3.0,IL,163.86900000000003,120.0,0.0,0.0,172.28900000000004
2006,26,N00005645,0.0,6.0,TX,143.69899999999996,260.075,1.0,0.0,342.0019999999999
2008,28,N00005645,0.0,2.0,TX,260.075,201.49900000000002,0.0,0.0,259.97
2010,30,N00005645,0.0,1.0,TX,201.49900000000002,133.0,0.0,0.0,250.019
2012,32,N00005645,0.0,10.0,TX,133.0,167.792,1.0,2.0,217.33599999999998
2014,34,N00005645,0.0,4.0,TX,167.792,0.0,0.0,0.0,560.341
2008,34,N00004207,0.0,20.0,IA,1045.894,284.865,2.0,0.0,813.002
2014,40,N00004207,0.0,19.0,IA,44.0,0.0,0.0,4.0,2.0
2006,12,N00006750,0.0,4.0,CA,119.37799999999999,148.608,1.0,0.0,223.08599999999998
2008,14,N00006750,0.0,3.0,CA,148.608,175.9,0.0,0.0,215.365
2010,16,N00006750,0.0,4.0,CA,175.9,0.0,0.0,0.0,253.82
2006,14,N00002884,0.0,2.0,FL,75.005,177.058,1.0,0.0,90.065
2008,16,N00002884,0.0,7.0,FL,177.058,221.85,0.0,0.0,329.102
2010,18,N00002884,0.0,9.0,FL,221.85,146.779,0.0,0.0,184.31900000000002
2012,20,N00002884,0.0,4.0,FL,146.779,164.155,0.0,1.0,174.24599999999995
2014,22,N00002884,0.0,3.0,FL,164.155,0.0,0.0,1.0,205.61
2006,12,N00009157,0.0,5.0,WA,106.74799999999999,104.852,0.0,0.0,155.262
2008,14,N00009157,0.0,1.0,WA,104.852,214.892,0.0,0.0,190.5
2010,16,N00009157,0.0,5.0,WA,214.892,238.30599999999998,5.0,0.0,277.08099999999996
2012,18,N00009157,0.0,8.0,WA,238.30599999999998,221.1,4.0,2.0,341.017
2014,20,N00009157,0.0,7.0,WA,221.1,0.0,0.0,2.0,5.5
2006,20,N00007584,0.0,5.0,CA,189.255,218.97099999999998,1.0,1.0,229.208
2008,22,N00007584,0.0,5.0,CA,218.97099999999998,314.07099999999997,1.0,0.0,454.718
2010,24,N00007584,0.0,4.0,CA,314.07099999999997,332.75,5.0,0.0,403.917
2012,26,N00007584,0.0,4.0,CA,332.75,0.0,0.0,1.0,27.5
2006,14,N00001222,0.0,3.0,NY,104.39,113.8,3.0,0.0,108.546
2008,16,N00001222,0.0,8.0,NY,113.8,110.06,1.0,0.0,170.11
2010,18,N00001222,0.0,7.0,NY,110.06,79.813,1.0,0.0,452.54400000000004
2012,20,N00001222,0.0,1.0,NY,79.813,0.0,0.0,0.0,7.0
2006,16,N00003725,0.0,1.0,OH,383.24699999999996,274.21,2.0,0.0,457.296
2008,18,N00003725,0.0,2.0,OH,274.21,0.0,0.0,0.0,22.0
2006,14,N00004155,0.0,3.0,MI,148.92,137.19,3.0,0.0,183.611
2008,16,N00004155,0.0,5.0,MI,137.19,3.325,0.0,0.0,192.456
2006,14,N00001469,0.0,1.0,PA,315.536,305.531,2.0,0.0,368.69199999999995
2008,16,N00001469,0.0,1.0,PA,305.531,292.4,0.0,0.0,418.538
2010,18,N00001469,0.0,5.0,PA,292.4,374.26800000000003,0.0,1.0,631.341
2006,26,N00001821,0.0,1.0,MD,601.684,1579.7,4.0,0.0,1122.4389999999999
2008,28,N00001821,0.0,2.0,MD,1579.7,1545.237,0.0,1.0,970.077
2010,30,N00001821,0.0,2.0,MD,1545.237,1389.924,0.0,0.0,1416.287
2014,34,N00001821,0.0,2.0,MD,1299.925,0.0,0.0,0.0,1273.242
2006,26,N00006983,0.0,7.0,CA,272.997,89.55,2.0,0.0,229.757
2008,28,N00006983,0.0,2.0,CA,89.55,1.0,0.0,0.0,25.725
2006,8,N00002460,0.0,2.0,SC,61.73,60.12300000000001,0.0,1.0,127.807
2008,10,N00002460,0.0,15.0,SC,60.12300000000001,89.355,0.0,0.0,63.278
2008,22,N00005582,0.0,14.0,OK,891.809,53.56100000000001,1.0,0.0,854.992
2014,28,N00005582,0.0,10.0,OK,789.2189999999997,0.0,0.0,2.0,622.995
2006,10,N00001725,0.0,3.0,WA,150.96,259.375,5.0,0.0,254.97
2008,12,N00001725,0.0,13.0,WA,259.375,202.52599999999998,2.0,1.0,231.56
2010,14,N00001725,0.0,12.0,WA,202.52599999999998,110.54899999999999,1.0,1.0,277.319
2008,14,N00012457,0.0,2.0,IL,293.58299999999997,142.4,0.0,0.0,239.535
2010,16,N00012457,0.0,1.0,IL,142.4,177.75,0.0,0.0,164.687
2012,18,N00012457,0.0,2.0,IL,177.75,0.0,0.0,0.0,199.635
2006,12,N00005818,0.0,6.0,TX,66.5,129.009,1.0,0.0,83.565
2008,14,N00005818,0.0,16.0,TX,129.009,156.083,4.0,0.0,175.19299999999996
2010,16,N00005818,0.0,7.0,TX,156.083,144.785,2.0,0.0,191.952
2012,18,N00005818,0.0,5.0,TX,144.785,87.975,4.0,0.0,152.25
2014,20,N00005818,0.0,17.0,TX,87.975,0.0,0.0,0.0,116.51
